x>0 	 Erf(x) 	 erf(x/sqrt2) 		 math.py 	 sci.py 	 m.py-sci.py-
-2.94  0.00164106123416 -0.99671787753169 	 -3.3e-16 	 -3.3e-16 	 0.0e+00
-2.92  0.00175015692868 -0.99649968614265 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.90  0.00186581330038 -0.99626837339923 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.88  0.00198837585489 -0.99602324829021 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.86  0.00211820504040 -0.99576358991919 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.84  0.00225567669154 -0.99548864661692 	 -1.1e-16 	 -1.1e-16 	 0.0e+00
-2.82  0.00240118247419 -0.99519763505162 	 -1.1e-16 	 -1.1e-16 	 0.0e+00
-2.80  0.00255513033043 -0.99488973933914 	 -1.1e-16 	 -1.1e-16 	 0.0e+00
-2.78  0.00271794492270 -0.99456411015460 	 -4.4e-16 	 -4.4e-16 	 0.0e+00
-2.76  0.00289006807623 -0.99421986384755 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.74  0.00307195921865 -0.99385608156270 	 -3.3e-16 	 -3.3e-16 	 0.0e+00
-2.72  0.00326409581589 -0.99347180836822 	 -3.3e-16 	 -3.3e-16 	 0.0e+00
-2.70  0.00346697380304 -0.99306605239392 	 -3.3e-16 	 -3.3e-16 	 0.0e+00
-2.68  0.00368110800917 -0.99263778398165 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.66  0.00390703257485 -0.99218593485029 	 -1.1e-16 	 -2.2e-16 	 -1.1e-16
-2.64  0.00414530136104 -0.99170939727793 	 -1.1e-16 	 -1.1e-16 	 0.0e+00
-2.62  0.00439648834812 -0.99120702330376 	 -4.4e-16 	 -4.4e-16 	 0.0e+00
-2.60  0.00466118802372 -0.99067762395256 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.58  0.00494001575777 -0.99011996848446 	 -1.1e-16 	 -1.1e-16 	 0.0e+00
-2.56  0.00523360816356 -0.98953278367289 	 0.0e+00 	 0.0e+00 	 0.0e+00
-2.54  0.00554262344308 -0.98891475311384 	 -3.3e-16 	 -3.3e-16 	 0.0e+00
-2.52  0.00586774171533 -0.98826451656934 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.50  0.00620966532578 -0.98758066934845 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.48  0.00656911913555 -0.98686176172891 	 -3.3e-16 	 -3.3e-16 	 0.0e+00
-2.46  0.00694685078862 -0.98610629842275 	 -4.4e-16 	 -4.4e-16 	 0.0e+00
-2.44  0.00734363095535 -0.98531273808930 	 -1.1e-16 	 -1.1e-16 	 0.0e+00
-2.42  0.00776025355055 -0.98447949289889 	 0.0e+00 	 0.0e+00 	 0.0e+00
-2.40  0.00819753592460 -0.98360492815081 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.38  0.00865631902552 -0.98268736194897 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.36  0.00913746753057 -0.98172506493885 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.34  0.00964186994536 -0.98071626010928 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.32  0.01017043866872 -0.97965912266256 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.30  0.01072411002168 -0.97855177995665 	 -1.1e-16 	 -1.1e-16 	 0.0e+00
-2.28  0.01130384423855 -0.97739231152289 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.26  0.01191062541855 -0.97617874916291 	 -1.1e-16 	 0.0e+00 	 1.1e-16
-2.24  0.01254546143595 -0.97490907712811 	 -4.4e-16 	 -4.4e-16 	 0.0e+00
-2.22  0.01320938380726 -0.97358123238549 	 -3.3e-16 	 -3.3e-16 	 0.0e+00
-2.20  0.01390344751350 -0.97219310497300 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.18  0.01462873077599 -0.97074253844802 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.16  0.01538633478393 -0.96922733043215 	 -1.1e-16 	 -2.2e-16 	 -1.1e-16
-2.14  0.01617738337217 -0.96764523325567 	 -3.3e-16 	 -4.4e-16 	 -1.1e-16
-2.12  0.01700302264763 -0.96599395470473 	 0.0e+00 	 -1.1e-16 	 -1.1e-16
-2.10  0.01786442056282 -0.96427115887437 	 -1.1e-16 	 -2.2e-16 	 -1.1e-16
-2.08  0.01876276643494 -0.96247446713012 	 -1.1e-16 	 -1.1e-16 	 0.0e+00
-2.06  0.01969927040938 -0.96060145918125 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.04  0.02067516286607 -0.95864967426786 	 -2.2e-16 	 -2.2e-16 	 0.0e+00
-2.02  0.02169169376765 -0.95661661246471 	 -3.3e-16 	 -4.4e-16 	 -1.1e-16
-2.00  0.02275013194818 -0.95449973610364 	 -1.1e-16 	 -2.2e-16 	 -1.1e-16
-1.98  0.02385176434151 -0.95229647131698 	 -2.2e-16 	 -3.3e-16 	 -1.1e-16
-1.96  0.02499789514822 -0.95000420970356 	 0.0e+00 	 -1.1e-16 	 -1.1e-16
-1.94  0.02618984494045 -0.94762031011909 	 2.2e-16 	 1.1e-16 	 -1.1e-16
-1.92  0.02742894970384 -0.94514210059233 	 -2.2e-16 	 -3.3e-16 	 -1.1e-16
-1.90  0.02871655981600 -0.94256688036800 	 0.0e+00 	 -1.1e-16 	 -1.1e-16
-1.88  0.03005403896120 -0.93989192207760 	 -1.1e-16 	 -1.1e-16 	 0.0e+00
-1.86  0.03144276298075 -0.93711447403849 	 0.0e+00 	 -1.1e-16 	 -1.1e-16
-1.84  0.03288411865916 -0.93423176268167 	 -2.2e-16 	 -3.3e-16 	 -1.1e-16
-1.82  0.03437950244589 -0.93124099510822 	 -1.1e-16 	 -1.1e-16 	 0.0e+00
-1.80  0.03593031911293 -0.92813936177415 	 -2.2e-16 	 -3.3e-16 	 -1.1e-16
-1.78  0.03753798034852 -0.92492403930297 	 -3.3e-16 	 -1.1e-16 	 2.2e-16
-1.76  0.03920390328748 -0.92159219342503 	 -1.1e-16 	 -1.1e-16 	 0.0e+00
-1.74  0.04092950897881 -0.91814098204239 	 -1.1e-16 	 -1.1e-16 	 0.0e+00
-1.72  0.04271622079133 -0.91456755841734 	 -1.1e-16 	 -2.2e-16 	 -1.1e-16
-1.70  0.04456546275854 -0.91086907448291 	 -1.1e-16 	 -1.1e-16 	 0.0e+00
